Overriding config with config/train_shakespeare_char_baseline.py:
# Baseline configuration
out_dir = 'out-shakespeare-baseline'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False # Changed to True for Google colab
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # "mps" for mac, "cuda" for windows, if you have a GPU
compile = False # set True only on Linux with GPU
#init_from = 'resume' #resume from the save checkpoint
Overriding: device = cuda
Overriding: compile = False
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
iter 1260: loss 1.2805, time 583.63ms, mfu 0.58%
iter 1270: loss 1.2614, time 582.82ms, mfu 0.59%
iter 1280: loss 1.2521, time 572.48ms, mfu 0.60%
iter 1290: loss 1.2835, time 581.83ms, mfu 0.60%
iter 1300: loss 1.3000, time 581.34ms, mfu 0.60%
iter 1310: loss 1.2370, time 580.55ms, mfu 0.61%
iter 1320: loss 1.2972, time 583.07ms, mfu 0.61%
iter 1330: loss 1.2553, time 584.10ms, mfu 0.61%
iter 1340: loss 1.2907, time 577.72ms, mfu 0.62%
iter 1350: loss 1.2548, time 574.58ms, mfu 0.62%
iter 1360: loss 1.2722, time 582.46ms, mfu 0.62%
iter 1370: loss 1.2469, time 579.51ms, mfu 0.62%
iter 1380: loss 1.2591, time 579.28ms, mfu 0.63%
iter 1390: loss 1.2432, time 582.57ms, mfu 0.63%
iter 1400: loss 1.2590, time 582.66ms, mfu 0.63%
iter 1410: loss 1.2478, time 573.14ms, mfu 0.63%
iter 1420: loss 1.2619, time 574.36ms, mfu 0.63%
iter 1430: loss 1.2439, time 581.56ms, mfu 0.63%
iter 1440: loss 1.2453, time 576.45ms, mfu 0.63%
iter 1450: loss 1.2268, time 575.39ms, mfu 0.64%
iter 1460: loss 1.2374, time 573.50ms, mfu 0.64%
iter 1470: loss 1.2181, time 574.36ms, mfu 0.64%
iter 1480: loss 1.2028, time 578.74ms, mfu 0.64%
iter 1490: loss 1.2354, time 575.76ms, mfu 0.64%
step 1500: train loss 1.1477, val loss 1.4737
saving checkpoint to out-shakespeare-baseline
iter 1500: loss 1.1845, time 82932.37ms, mfu 0.58%
iter 1510: loss 1.2307, time 578.10ms, mfu 0.58%
iter 1520: loss 1.2190, time 572.69ms, mfu 0.59%
iter 1530: loss 1.2497, time 574.48ms, mfu 0.60%
iter 1540: loss 1.1876, time 575.87ms, mfu 0.60%
iter 1550: loss 1.2241, time 579.43ms, mfu 0.61%
iter 1560: loss 1.2078, time 581.92ms, mfu 0.61%
iter 1570: loss 1.2280, time 583.18ms, mfu 0.61%
iter 1580: loss 1.1935, time 575.46ms, mfu 0.62%
iter 1590: loss 1.1861, time 580.91ms, mfu 0.62%
iter 1600: loss 1.1962, time 581.76ms, mfu 0.62%
iter 1610: loss 1.2341, time 583.76ms, mfu 0.62%
iter 1620: loss 1.1738, time 581.94ms, mfu 0.62%
iter 1630: loss 1.2087, time 584.28ms, mfu 0.63%
iter 1640: loss 1.2000, time 583.38ms, mfu 0.63%
iter 1650: loss 1.1798, time 582.08ms, mfu 0.63%
iter 1660: loss 1.2111, time 576.60ms, mfu 0.63%
iter 1670: loss 1.1922, time 584.37ms, mfu 0.63%
iter 1680: loss 1.1956, time 584.21ms, mfu 0.63%
iter 1690: loss 1.1965, time 575.34ms, mfu 0.63%
iter 1700: loss 1.1815, time 581.14ms, mfu 0.63%
iter 1710: loss 1.1751, time 581.58ms, mfu 0.63%
iter 1720: loss 1.1770, time 574.45ms, mfu 0.64%
iter 1730: loss 1.1995, time 574.78ms, mfu 0.64%
iter 1740: loss 1.1617, time 582.31ms, mfu 0.64%
step 1750: train loss 1.0970, val loss 1.4680
saving checkpoint to out-shakespeare-baseline
iter 1750: loss 1.1797, time 83188.17ms, mfu 0.57%
iter 1760: loss 1.1878, time 577.75ms, mfu 0.58%
iter 1770: loss 1.1982, time 427.31ms, mfu 0.61%
iter 1780: loss 1.1878, time 574.06ms, mfu 0.61%
iter 1790: loss 1.1886, time 581.19ms, mfu 0.62%
iter 1800: loss 1.1780, time 581.53ms, mfu 0.62%
iter 1810: loss 1.1501, time 582.44ms, mfu 0.62%
iter 1820: loss 1.1652, time 572.75ms, mfu 0.62%
iter 1830: loss 1.1682, time 583.97ms, mfu 0.63%
iter 1840: loss 1.1574, time 582.83ms, mfu 0.63%
iter 1850: loss 1.1558, time 584.33ms, mfu 0.63%
iter 1860: loss 1.1638, time 582.63ms, mfu 0.63%
iter 1870: loss 1.1459, time 583.05ms, mfu 0.63%
iter 1880: loss 1.1803, time 583.48ms, mfu 0.63%
iter 1890: loss 1.1673, time 583.76ms, mfu 0.63%
iter 1900: loss 1.1333, time 580.85ms, mfu 0.63%
iter 1910: loss 1.1623, time 584.35ms, mfu 0.63%
iter 1920: loss 1.1630, time 576.52ms, mfu 0.63%
iter 1930: loss 1.1420, time 583.15ms, mfu 0.63%
iter 1940: loss 1.1194, time 582.70ms, mfu 0.64%
iter 1950: loss 1.1393, time 583.57ms, mfu 0.64%
iter 1960: loss 1.1508, time 582.33ms, mfu 0.64%
iter 1970: loss 1.1517, time 579.92ms, mfu 0.64%
iter 1980: loss 1.1482, time 575.58ms, mfu 0.64%
iter 1990: loss 1.1478, time 583.01ms, mfu 0.64%
step 2000: train loss 1.0503, val loss 1.4765
iter 2000: loss 1.1226, time 82757.81ms, mfu 0.57%
iter 2010: loss 1.1194, time 573.47ms, mfu 0.58%
iter 2020: loss 1.1194, time 582.92ms, mfu 0.59%
iter 2030: loss 1.1533, time 582.24ms, mfu 0.59%
iter 2040: loss 1.1361, time 574.36ms, mfu 0.60%
iter 2050: loss 1.1091, time 579.87ms, mfu 0.60%
iter 2060: loss 1.0957, time 580.96ms, mfu 0.61%
iter 2070: loss 1.1267, time 582.67ms, mfu 0.61%
iter 2080: loss 1.1144, time 579.67ms, mfu 0.61%
